# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"AHPC Holdings Inc.",GLOV,
"GIVEMEPOWER CORP",GMPW,
"GORAN CAPITAL INC",GNCN,
"Gensym Corp.",GNSM,
"Genesys SA",GNSYY,
"Greenland Corp.",GRLC,
"GiraSolar, Inc.",GRSR,
"GARUDA CAPITAL CORP",GRUA,
"Greens Worldwide, Inc",GRWW,
"GelStat Corp.",GSAC,
"GLOBAL SEAFOOD TECH",GSFD,
"GREATER SOONER HLDG",GSNH,
"GlobeTel Communications Corp.",GTEM,
"Galtech Semiconductor Materials Corp.",GTSM,
"VI GROUP PLC SP ADR",GVIPY,
"Great Western Land and Recreation Inc.",GWES,
"GABIREL TECHNOLOGIES",GWLK,
"Geoworks Corp.",GWRX,
"GLACIER WTR TR9.0625",GWSVP,
"Global Water Technologies",GWTR,
"Hampshire Group Ltd.",HAMP,
"Hanaro Telecom, Inc.",HANAY,
"HOUSE OF BRUSSELS CH",HBSL,
"Huntco Inc.",HCOIQ,
"Spatialight Inc.",HDTV,
"H E R C PRODUCTS INC",HERC,
"Health Sciences Group Inc.",HESG,
"Hienergy Technologies Inc.",HIET,
"HIV-VAC INC",HIVV,
"Hancock Fabrics Inc",HKFIQ,
"Headliners Entertainment Group Inc.",HLEG,
"HOLMES BIOPHARMA",HLMB,
"HOME SEC INTL INC",HMSI,
"HANOVER FOODS CL B",HNFSB,
"Hanover Direct Inc.",HNVD,
"Holobeam Inc.",HOOB,
"Hines Horticulture Inc.",HORT,
"HealthRenu Medical Inc.",HRUM,
"Hesperia Holding Inc.",HSPR,
"Homeland Security Network Inc.",HSYN,
"HumaTech Inc.",HUMT,
"HydroFlo Inc.",HYRF,
"Information Architects Corp.",IACH,
"iAsiaWorks Inc.",IAWK,
"Interstate Bakeries Corp.",IBCIQ,
"Integrated Business Systems & Services Inc.",IBSS,
"IBX Group Inc.",IBXG,
"Imperial Chemical Industries PLC",ICIYY,
"ICOA Inc.",ICOA,
"iCarbon Corp.",ICRB,
"International Dispensing Corp.",IDND,
"800 TRAVEL SYS INC",IFLYQ,
"IGENE Biotechnology Inc.",IGNE,
"International Gold Resources Inc.",IGRU,
"INTL HI TECH INDS",IHITF,
"I I S INTELLIGENT IN",IISLF,
"Image Innovations Holdings Inc.",IMGVQ,
"INDIANA MICHIGAN4.12",IMIGP,
"InfoNow Corp.",INOW,
"Industrial Rubber Products Inc.",INRB,
"Insignia Solutions plc",INSGY,
"Insynq Inc.",INSN,
"IPEX, Inc.",IPEX,
"Island Pacific Inc.",IPIN,
"IPIX Corp.",IPIXQ,
"International Power PLC",IPRPY,
"Impax Laboratories Inc.",IPXL,
"Interep National Radio Sales Inc.",IREP,
"IFSA STRONGMAN INC",ISMN,
"Ithaka Acquisition Corp",ITHKU,
"Intelligroup Inc.",ITIG,
"ITEMUS INC",ITMUQ,
"In Touch Media Group Inc.",ITOU,
"ICOS VISION SYST",IVISF,
