# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"Turbine Truck Engines Inc.",TTEG
"Titan Global Holdings, Inc.",TTGL
"Tree Top Industries Inc.",TTII
"TATONKA OIL AND GAS",TTKA
"TUMI RES LTD",TUMIF
"Terrace Ventures Inc.",TVEN
"Travel Hunt Holdings, Inc.",TVLH
"Texas Vanguard Oil Co.",TVOC
"TURNER VALLEY OILGAS",TVOG
"TOWN & COUNTRY FINL",TWCF
"24HOLDINGS INC",TWFH
"TWL CORPORATION",TWLP
"TOWNE BANCORP (AZ)",TWNE
"Trans World Corporation",TWOC
"Tower Tech Holdings Inc.",TWRT
"TEXADA VENTURES NEW",TXDV
"TEXOLA ENERGY CORP",TXLA
"TXP Corporation",TXPO
"Trinity Bank, NA",TYBT
"Taylor Calvin B Bankshares Inc.",TYCB
"TRI COUNTY FINANCIAL",TYFG
"Trey Resources Inc.",TYRIA
"Telzuit Medical Technologies Inc.",TZMT
"United American Bank",UABK
"UNITED AMERICAN CORP",UAMA
"United States Antimony Corp.",UAMY
"United Bancorp. of Alabama, Inc.",UBAB
"US Biodefense Inc.",UBDE
UBRANDIT.COM,UBDT
"UBID.COM HOLDINGS",UBHI
"United Bancorp Inc.",UBMI
"UNITED COMMERCE BNCP",UCBN
"UC Hub Group Inc.",UCHB
"UCI Medical Affiliates Inc.",UCIA
"Universal Capital Management, Inc.",UCMT
"UCN Inc.",UCNN
"Unico Inc.",UCOI
"Unicorp Inc.",UCPI
"Union Dental Holdings Inc.",UDHI
"Universal Detection Technology",UDTT
"UNION ELEC CO $3.70",UELMO
"UNION ELEC CO 4.75",UEPCN
"UNION ELEC CO $4.30",UEPCP
"United Financial Banking Companies Inc.",UFBC
"United Fuel & Energy Corp.",UFEN
"Universal Guardian Holdings Inc.",UGHO
"Unigene Laboratories Inc.",UGNE
"US Geothermal Inc.",UGTH
"UNIVERSAL HEALTH SVC",UHID
"Uniti Financial Corp.",UIFC
"ULURU Inc.",ULUR
"Union Bankshares Co.",UNBH
"Union National Financial Corporation",UNNF
"United Energy Corp.",UNRG
"United Tennessee Bankshares Inc.",UNTN
"Uni-Pixel Inc.",UNXL
"UPSTREAM BIOSCIENCES",UPBS
"Universal Property Development & Acquisition Corp.",UPDA
"UpSNAP Inc.",UPSN
"Urban Television Network Corp.",URBT
"Uranium Resources Inc.",URRE
"UREX ENERGY CORP",URXE
"USA TECHNOLOGIES PFD",USATP
"United States Basketball League Inc.",USBL
"U S CANADIAN MIN NEW",USCA
USCorp,USCS
"US Energy Initiatives Corporation.",USEI
"US Farms, Inc.",USFI
"U.S. Helicopter Corp.",USHP
"US Neurosurgical Inc.",USNU
"US 1 Industries Inc.",USOO
"UST Liquidating Corp.",USTX
"USA Video Interactive Corp.",USVO
"US Wireless Data Inc.",SVOX
"Universal Express Inc.",USXPE
"UTG Inc.",UTGN
"UNITED TRAFFIC SYSTM",UTSYF
"Universal Travel Group",UTVG
"UNITY WIRELESS CORPORATION",UTYW
"Univercell Holdings Inc.",UVCL
"UNILENS VISION INC",UVICF
"Universal Insurance Holdings Inc.",UVIH
"Virginia National Bank",VABK
"Vaso Active Pharmaceuticals Inc.",VAPH
"Vasomedical Inc.",VASO
"VERTICAL BRANDING",VBDG
"Vubotics, Inc.",VBTC
"VENTURA COUNTY BK CA",VCBB
"Valley Community Bank",VCBC
"Valley Commerce Bancorp",VCBP
"ViewCast.com Inc.",VCST
"Vertical Computer Systems Inc.",VCSY
"VALCENT PRODUCTS INC",VCTPF
"VillageEDOCS Inc.",VEDO
"Voyager Entertainment International Inc.",VEII
"VIRGINIA EL & PW 4.8",VELPM
"VIRGINIA EL & PW 4.2",VELPN
"Veramark Technologies Inc.",VERA
"vFinance Inc.",VFIN
"Vertical Health Solutions Inc.",VHSL
"VERTICAL HEALTH WT",VHSLW
"BHIT Inc.",VHTI
"Victoria Industries Inc.",VIIN
"VISIPHOR CORPORATION",VISRF
"Viking Systems, Inc.",VKSY
"VALIDIAN CORPORATION",VLDI
"Valentis Inc.",URGP
"VISUALMED CLINCL SOL",VMCS
"VIRTUAL MEDIA HLDGS",VMHIF
"VOICE MOBILITY INTL",VMII
"Vitro Diagnostics Inc.",VODG
"VocalScape Networks, Inc.",VOSC
"VOS International, Inc.",VOSI
"VPGI Corp.",VPGC
"Viropro Inc.",VPRO
"Viper Powersports Inc.",VPWS
"VioQuest Pharmaceuticals Inc.",VQPH
"Viral Genetics Inc.",VRAL
"Vertical Communications, Inc.",VRCC
"Veridien Corp.",VRDE
"VIASPACE Inc.",VSPC
"Vistula Communications Services Inc.",VSTL
"Visualant Inc.",VSUL
"VISCOUNT SYSTEMS INC",VSYS
"Vital Living Inc.",VTLV
"VirTra Systems Inc.",VTSI
"Vivid Learning Systems Inc.",VVDL
"VICTORY ENERGY NEW",VYEY
"Vyteris Holdings (Nevada) Inc.",VYHN
"View Systems Inc.",VYST
"VYTA Corp.",VYTC
"Vyrex Corp.",VYXC
"Wake Forest Bancshares Inc.",WAKE
"WACHOVIA DIV EQ PFD",WAVAP
"WAWEL SAVING BK NJ",WAWL
"WILSON BANK HLDG CO",WBHC
"Web2 Corp.",WBTO
"WEALTHCRAFT SYSTEMS",WCSY
"World Am Inc.",WDAM
"WOODLANDS FINL SVCS",WDFN
"Winsonic Digital Media Group Ltd.",WDMG
"World Waste Technologies Inc.",WDWT
"Wells Financial Corp.",WEFP
"Windswept Environmental Group Inc.",WEGI
"World Energy Solutions, Inc",WEGY
"WISCONSIN ELEC PWR 6",WELPM
"WISCONSIN ELEC PWR 3.60 PFD",WELPP
"Wellstone Filters Inc.",WFLT
"Weststar Financial Services Corp.",WFSC
"Wherify Wireless Inc.",WFYW
"WASHINGTON GAS 4.25",WGLCN
"WASHINGTON GAS 4.80",WGLCO
"WASHINGTON GAS $5.00",WGLCP
"WORLD GAMING ADR",WGMGY
"WILTON BK (CT)",WIBW
"WISCONSIN PUB 5.08",WIPSL
"WISCONSIN PUB  5.04",WIPSM
"WISCONSIN PUB SVC 5",WIPSO
"WISCONSIN PWR &4.80",WISCL
"WISCONSIN PWR &4.40",WISCM
"WISCONSIN PWR & 4.76",WISCN
"WISCONSIN PWR & 4.96",WISCP
"Wits Basin Precious Minerals Inc.",WITM
"Wizzard Software Corp.",WIZD
"Wako Logistics Group Inc",WKOL
"WORDLOGIC CORP",WLGC
"Willamette Valley Bank (Salem OR)",WLMT
"WIRELESS AGE COMMS",WLSA
"Wolverine Tube Inc.",WLVT
"WEST MILTON BCP PA",WMBC
"WILLAMETTE CMTY BNK",WMCB
"WINNER MEDICAL GROUP",WMDG
"WEALTH MINERALS LTD",WMLLF
"Winning Edge International, Inc.",WNED
"Wentworth Energy, Inc.",WNWG
"WARP 9 INC",WNYN
"WOIZE INTERNATIONAL",WOIZ
"Western Power & Equipment Corp.",WPEC
"WESTAR ENER 5.00 PFD",WREGO
"WESTAR ENER 4.50 PFD",WREGP
"Wescorp Energy Inc.",WSCE
"Woodstock Financial Group, Inc.",WSFL
"Wilson Holdings, Inc.",WSHD
"WESTSPHERE ASSET CP",WSHE
"WISCONSIN PUB 6.76",WSPBP
"WORLDSTAR ENERGY CP",WSTR
"Western Sizzlin Corp.",WSZL
"Wataire International, Inc.",WTAR
"Waste Technology Corp.",WTEK
"Water Chef Inc.",WTER
"Whitemark Homes Inc.",WTMK
"Wi-Tron Inc.",WTRO
"WORLD VENTURES INC",WVNTF
"WWA Group Inc.",WWAG
"WorldWater & Power Corp.",WWAT
"WORLDWIDE BIO & PHAR",WWBP
"Worldwide Manufacturing USA Inc.",WWMU
"WRIGLEY WILLIAM CL-B",WWYWB
"XA Inc.",XAIN
"X-Change Corp.",XCHC
"mPhase Technologies Inc.",XDSL
"XFormity Technologies, Inc.",XFMY
"XINHUA FINANCE ADR",XHFNY
"XINHUA  CHINA LTD",XHUA
"XL GENERATION INTERN",XLGI
"XM SATELLITE WT A",XMSRZ
"XM SATELLITE WT",XMSWW
"XINYINHAI TECHNOLOGY",XNYH
"XO Holdings, Inc.",XOHO
"XO HOLDINGS WTS C",XOHOL
"XO HOLDINGS WTS A",XOHOW
"XO HOLDINGS WTS B",XOHOZ
"Xpention Genetics Inc.",XPNG
"XSUNX Inc.",XSNX
"YUKON GOLD CORP INC",YGDC
"YUMMIES INC",YUMM
ZAP,ZAAP
"Zaxis International Inc.",ZAXS
"Zone 4 Play Inc.",ZFPI
"ZHONGPIN INC",ZHNP
"ZIM CORP",ZIMCF
"Zaldiva Inc.",ZLDV
"Zunicom Inc.",ZNCM
"Zingo, Inc.",ZNGO
"Zap.com Corp.",ZPCM
"Zeros & Ones Inc.",ZROS
"Abc Dispensing Tech Inc",ABCC
"ALBINA COMM BNCP",ACBC
"Advanced Id Corp",AIDO
"Alpena Bancshares Inc",ALPN
"Alternative Resources",ALRC
"Artemis International Sol",AMSI
"AAMAXAN TRANSPOR",AMXT
"AQUENTIUM INC",AQNM
"AFFORD TELE TECH",ATCT
"Docplus.net Cp",ATYG
"Avatar Sys Inc",AVSY
"Applewoods Restaurants In",AWRU
"BANCORP INTL GRO",BCIT
"Barneys New York Inc",BNNY
"Crown Castle Internationa",CCIKO
"COLNL CMMRCL PR",CCOMP
"CANADIAN ZINC CP",CZICF
"Daleen Technologies",DALN
"Delcath Systems Inc",DCTHZ
"Dexterity Surgical Inc",DEXT
Digicorp,DGCO
"Discovery Technologies Inc New",DSVY
"ECOLOGICAL RCYCL",ECRE
"ELITE FLIGHT",EFLT
"Energy Producers Inc",EGPI
"Electric And Gas Technolo",ELGT
"ETOTALSOURCE INC",ETLS
"Envirosafe Cp",EVSA
"Expertelligence Inc",EXGP
"First Capital Bank",FCRV
"FARALLON RESOURC",FRLLF
"Gen Communication Inc Cl B",GNCMB
"GOLDEN SPIRIT M",GSPM
"GTC Telecom Corp",GTCC
"GREENTECH USA",GTEI
"Globetel Communications C",GTEL
"HEAVENLY HOT DOG",HHDG
"Peregrine Ind Inc",HVAC
"Hanover Gold Company Inc",HVGO
"IGAMES ENTNMNT",IGME
"Imaging Tech Corp",IMTO
"INTEGRATED PHARM",INTP
"INNER SYSTEMS",ISYM
"J-PACIFIC GOLD",JPNJF
"Kaiser Group Holdings",KGHI
"KAISER GROUP PR",KGHIP
"Lexon Technologies",LEXO
"Lawrence Finl Hldgs",LWFH
"MCY.COM INC",MCYC
"MDI TECHS INC",MDTI
"Military Communications T",MLTA
"Medical Laser Tech Inc",MLTI
"Modern Medical Modalities",MODME
"Man Sang Holdings Inc New",MSHI
"MISS CHEMICAL",MSPIQ
"Maximum Dynamics Inc",MXDY
"Maxim Mortgage",MXMO
"Nmxs.com Inc",NMXSE
"Odyssey Pictures Corp",OPIX
"Organik Technologies Inc",ORGT
"OTTER TAIL $3.60",OTTRP
"PEDIATRIC PROSTH",PDPR
"Pacific Sands Inc",PFSD
"Peoples Cmty Cap Cp",PPLM
"ProCyte Corporation",PRCY
"Providential Holdings",PRVH
"Primal Solutions Inc",PSOL
"PRODUCT EXPRESS.",PXPS
"Red Oak Bank",ROBK
"RASER TECHNOLGS",RSTG
"REDWOOD MICROCAP",RWMC
"Sensar Corporation",SCII
"Sangui Biotech Intl Inc",SGBI
"STRATEGINET INC",SGTI
"SHREWSBURY BANCO",SHRW
"Shoshone Silver Mng",SHSH
"SALIENT SYSTEMS",SLTS
"Spectrum Organic",SPOP
"SCORE ONE INC",SREA
"Sterling Mng Co",SRLM
"SUNWEST BANK",SWST
Sys,SYYS
"TELEGEN CORP",TEGN
"Tekron Inc",TKRN
"Tm Century Inc",TMCI
"TENSLEEP TECHNOL",TNSP
"Trb Systems Intl",TRBXE
"Terra Systems Inc",TSYI
"Univec Inc",UNVC
"VAL COMMERCE BC",VLYB
"Washington Mutual",WAHCU
"WINDSORTECH INC",WSRT
"World Transport Authority",WTAI
"Yantai Dahua Holdings Com",YDHCF
"Zoolink Corp",ZLNK
,RAEM
,SWVC
,PSPJ
,CYTV
"CHINA SUN GRP HIGHTE",CSGH
"Banyan Corp.",BNYN
"Terra Nova Financial Group, Inc.",TNFG
"DeMatco, Inc",DMATE
"CHINA ORGANIC AGRICU",CNOA
"IXI MOBILE INC WT",IXMOW
"Invicta Group Inc.",IVIT
"uWink Inc. Del",UWKI
"ROYALITE PETROLEUM",RYPE
"SUNVESTA INC",SVSA
"Air Industries Group, Inc.",AIRI
"Jade Mountain Corporation",JDMC
"Carbon Sciences, Inc",CABN
"AMERIWEST ENERGY CP",AWEC
"Business V.N, Inc.",BVNI
"CHINA DISCOVERY AQ U",CADUF
"EN2GO INTL INC",ENGO
"g8wave Holdings, Inc.",GEWV
"Majestic Oil &amp; Gas Inc.",MJOG
"MEGA MEDIA GROUP INC",MMDA
"Rodman &amp; Renshaw Capital Group, Inc.",RDRN
"ZOLOTO RESOURCES LTD",ZRSCF
"ACADIA RESOURCES INC",AADI
"ACROSS AMER RL ES EX",AAEX
"ACROSS AMERICA FINCL",AAFS
"AVANTAIR INC",AAIR
"AVANTAIR INC UTS",AAIRU
"AVANTAIR INC WTS",AAIRW
"ASIAMART INC",AAMA
"All American Pet Company",AAPT
"American Antiquities Inc.",AAQS
"Allegro Biodiesel Corporation",ABDS
"Airbee Wireless Inc.",ABEW
"American Basketball Association, Inc.",ABKB
"AMERICAN BANK HLDGS",ABKH
"AMERICAN BONANZA RES",ABOZ
"Alternative Construction Company, Inc.",ACCY
"Arcade Acquisition Corp.",ACDQ
"Arcade Acquisition Corp.",ACDQU
"ARCADE ACQ CORP WT",ACDQW
"Atlantic Coast Entertainment Holdings Inc.",ACEH
"AmeriChip International Inc.",ACII
"ACL SEMICONDUCTOR",ACLO
"ACHIEVERS MAGAZINE",ACMZ
"Action Industries, Inc.",ACTN
"Aduromed Industries, Inc.",ADRM
"Auto Underwriters of America, Inc.",ADWT
"AlgoDyne Ethanol Energy Corp.",ADYN
"Asia Electrical Power International Group Inc.",AEPW
"Amerex Group, Inc",AEXG
"ALL FUELS &amp; ENERGY C",AFSE
"AngioGenex, Inc.",AGGX
"ALONG MOBILE TECH",AGMB
"AMS HOMECARE INC",AHCKE
N/A,AHER
"ARDMORE HOLDING CORP",AHLN
"ATHERON, INC.",AHRN
"Athersys, Inc.",AHYS
"AMERI-FIRST FINCL GR",AIFF
"AMERA RESOURCES",AJRSF
"AskMeNow, Inc.",AKMN
"ALCO, INC.",ALCQ
"AMERICAN BANK INC",AMBKO
"AMECS INC",AMEC
"ADS Media Group Inc.",AMGU
"American Business Holdings Inc.",AMHG
"American Metal &amp; Technology, Inc.",AMMY
"AMARU INC",AMRU
"Amazon Biotech Inc.",AMZO
"Anpath Group, Inc.",ANPG
"American Racing Capital, Inc.",ANRC
"Avalon Oil and Gas, Inc.",AOGN
"AOM MINERALS LTD.",AOME
"ATLANTIC PACIFIC BNK",APFB
"AAMPRO Group Inc.",APGO
"Applied Medical Devices Inc.",APMD
"APIVA VENTURES LTD",APVL
"AQUASOL ENVIROTECH",AQEVF
"AMERICAN RIVIERA BNK",ARBV
"ALLSTAR RESTAURANTS",AREN
"AUROR CAPITAL CORP.",AROC
"ARRIS RESOURCES, INC",ARRRF
"American Resource Technologies, Inc.",ARUR
"Alliance Recovery Corp.",ARVY
"ASLAHAN ENTERPRISES",ASLH
"Associated Media Holdings Inc.",ASMH
"ASIANADA INC",ASND
"Atlantic Bancshares Inc",ATBA
"ATS Corporation",ATCTU
"ATS CORPORATION WT",ATCTW
"Altrust Financial Services Inc",ATFS
"American Technologies Group Inc.",ATGR
"Atomic Guppy, Inc.",ATGU
"Atlantis Business Development Corp.",ATLB
"All State Properties LP",ATPTZ
"ATLANTICA INC",ATTC
"ASIA PREMIUM TV GRP",ATVG
"AMERICAS UNITED BK",AUNB
"American Uranium Corp.",AUUM
"Avasoft, Inc.",AVAF
"Advanced Technologies Group, Ltd.",AVGG
"ADVANCED MED INST",AVMD
"AVIATION UPGRADE TEC",AVUG
"AVVAA WORLD HLTHCR",AVVWE
"ANAVEX LIFE SCIENCES",AVXL
"ATWOOD MINERAL &amp; MNG",AWMM
"Axiom III Inc.",AXIO
"ACREX VENTURES LTD",AXVEF
"ALYNX, CO.",AYXC
"AZTEK VENTURES INC",AZVN
"Benacquista Galleries Inc.",BAQU
"Birmingham Bloomfield Bancshares Inc.",BBBI
"BORDER BANCSHARES ME",BBME
"BBM HOLDINGS INC",BBMO
"BBN GLOBAL CONSULTNG",BBNG
"Babydot Co",BBYD
"BEST CARE, INC.",BCAE
"Broadcaster Inc.",BCAS
"BANCROFT URANIUM",BCFT
"Bancinsurance Corp.",BCIS
"BULLDOG FINANCIAL",BDGF
"BLACK DIAMOND BRANDS",BDMHF
"BodyTel Scientific, Inc.",BDYT
"Ben Franklin Financial Inc",BFFI
"BRIDGEFILMS INC.",BFLM
"Bluefire Ethanol Fuels, Inc.",BFRE
"BIG BEAR MINING CORP",BGBR
"Blackhawk Capital Group BDC Inc.",BHCG
"BAOSHINN CORPORATION",BHNN
"BLACK HAWK EXPLORATN",BHWX
"BASIC SERVICES, INC.",BICV
"BIP OIL, INC.",BIPO
"BANK REALE (WA)",BKRL
"Brookside Technology Holdings Corp.",BKSD
"BLINK COUTURE INC",BLKC
"Bear Lake Recreation Inc.",BLKE
"BELK, INC. CL B",BLKIB
"BLS MEDIA, INC.",BLSM
"Biomoda Inc.",BMOD
"BMR SOLUTIONS, INC.",BMRU
"Bedminster National Corp.",BMSTA
"BOND LABORATORIES",BNDB
"BRIGHTON OIL &amp; GAS",BOGS
"Boo Koo Holdings, Inc.",BOKO
"Biopack Environmental Solutions Inc.",BPEV
"BENDA PHARMACEUTICAL",BPMA
"BIOPURE CP WT DW NEW",BPREL
"BIOPURE CORP WT A",BPREW
"BIOPURE CP WT BW NEW",BPREZ
"Birch Branch Inc.",BRBH
"Brunswick Bancorp",BRBW
"Brooke Credit Corporation",BRCR
"BROOKE CREDIT CP UT",BRCRU
"BROOKE CREDIT CP WT",BRCRW
"BLACKROCK PETROLEUM",BRPC
"Brightec, Inc.",BRTE
"BREEZER VENTURES INC",BRZV
"Black Sea Oil, Inc.",BSEA
"BIOSHAFT WATER TECH",BSHF
"BioSolar, Inc.",BSRC
"Barossa Coffee Company Inc.",BSSA
"BTHC VIII, INC.",BTHH
"BTX Holdings, Inc.",BTXH
"BUCKINGHAM EXPLR INC",BUKX
"Brownie's Marine Group, Inc.",BWMG
"BOXWOODS INC",BXWD
"BYRON AMERICOR INC.",BYNAF
"CAL ALTA AUTO GLASS",CAAG
"CUSTOMER ACQ NETWORK",CACN
"CHINA DISCOVERY AQSN",CADQF
"CHINA DISCOVERY AQ W",CADWF
"CHANG-ON INTL INC",CAON
"CanAm Uranium Corp.",CAUI
"CYBERTEL CAPITAL CP",CBEL
"COMMERCE BK FOLSOM",CBFM
"CHOICE BK WISCONSIN",CBKW
"CHOICE BK WT WISCONS",CBKWW
"COLUMBUS VENTURES",CBUS
"Cab-tive Advertising Inc.",CBVA
"Carbiz Inc.",CBZFF
"COMMONCACHE, INC.",CCAH
"CASCADE COACHING CP",CCDE
"China Clean Energy, Inc.",CCGY
"CLEAR CHOICE HEALTH",CCHN
"Collectible Concepts Group Inc.",CCNG
"CoConnect, Inc.",CCNN
"Concrete Casting Inc",CCSG
"CLASSIC COSTUME CO",CCUC
"CELLCYTE GENETICS",CCYG
"Coda Octopus Group, Inc.",CDOC
"CHINA DONGSHENG INTL",CDSG
"Chanticleer Holdings, Inc.",CEEH
"Convergence Ethanol, Inc.",CETH
"CET Services Inc.",CETR
"CHINACAST EDUCATION",CEUC
"CHINACAST EDUCATN UT",CEUCU
"CHINACAST EDUCATN WT",CEUCW
"CHINA FORTUNE ACQSTN",CFAQF
"CHINA FORTUNE ACQ UT",CFAUF
"CHINA FORTUNE ACQ WT",CFAWF
"COMMUNITY 1ST BK CA",CFBN
"Continental Fuels, Inc.",CFUL
"COBRA OIL &amp; GAS CO",CGCA
"CHINAGROWTH NORTH UT",CGNUF
"CIGNUS VENTURES INC",CGNV
"CHINAGROWTH NORTH AQ",CGNYF
"Cougar Biotechnology, Inc.",CGRB
"CHINAGROWTH SOUTH WT",CGSQF
"CHINAGROWTH SOUTH UT",CGSUF
"CHINAGROWTH SOUTH AQ",CGSXF
"Capital Growth Systems, Inc.",CGSY
"CHDT  Corp.",CHDO
"CENTRAL HUDSON G &amp; E",CHGEL
"CENTRAL HUDSON G &amp; E 4.35 PFD",CHGEZ
"CHINA GENGSHENG MNRL",CHGS
"China Energy Corp.",CHGY
"CHINA HOLDINGS, INC.",CHHL
"China Medicine Corporation",CHME
"China Opportunity Acquisition Corp.",CHNQ
"CHINA OPTNTY AQ UNIT",CHNQU
"CHINA OPTNTY AQ WT",CHNQW
"CHINA HEALTH RES A",CHRI
"China Huaren Organic Products, Inc.",CHRN
"CHINA SHOE HOLDINGS",CHSH
"Chatsworth Data Solutions, Inc.",CHWD
"Cicero, Inc.",CICN
"Caspian International Oil Corp.",CIOC
"Cirtran Corp.",CIRC
"CHINA IVY SCHOOL INC",CIVY
"CITY LANGUAGE EXCHNG",CLGX
"CORAL GOLD RES NEW",CLHRF
"Clearant, Inc.",CLRA
"Collexis Holdings Inc.",CLXS
"Conmed Healthcare Management, Inc",CMHM
"COMMUNTY 1ST BNK(ID)",CMYF
"CNB Bancorp Inc.",CNBV
"Conihasset Capital Partners LLC",CNHA
"CNS Response, Inc.",CNSO
"Continan Communications, Inc.",CNTN
"China Nuvo Solar Energy, Inc.",CNUV
"CODY RESOURCES, INC.",CODY
"Credit One Financial Inc.",COFI
"Colorado Goldfields Inc.",COGF
"Compliance Systems Corp.",COPI
"Coates International Ltd.",COTE
"COLOURED US INC",COUS
"CAPITAL PACIFIC BCP",CPBO
"CHINA PUBLIC SEC TEC",CPBY
"CHINA PREMIUM LIFEST",CPMM
"CLEAN POWER CONCEPTS",CPOW
"CPS TECHNOLOGIES CP",CPSH
"CAPITAL ALLIANCE GRO",CPTPF
"CANTOP VENTURES, INC",CPVT
"CORONADO CORP.",CRAO
"CHINA RECYCLING ENER",CREG
"CAROLINA ALLNC BK SC",CRLN
"CAROLYN RIVER PROJ",CRPL
"CORNERSTONE COMM BNK",CRSB
"CHINA RITAR POWER CP",CRTP
"CHINA RUITAI INTL",CRUI
"Crown Equity Holdings, Inc.",CRWE
"CASCADE TECHNOLOGIES",CSDT
"COASTAL MEDIA, INC.",CSLA
"Consolidated Oil &amp; Gas, Inc.",CSLG
"Celsius Holdings, Inc.",CSUH
"China SXAN Biotech, Inc.",CSXB
"CHINA TRANSINFO TECH",CTFO
"CT Holdings Enterprises, Inc.",CTHE
"Cancer Therapeutics Inc.",CTHP
"CHINA TITANIUM CL A",CTPJA
"COMMERCE UNION BK TN",CUBN
"CHINA UNITECH GROUP",CUIG
"Cavit Sciences Inc",CVIT
"CAVALIER GROUP (THE)",CVLG
"CANDEV RESOURCE EXPL",CVRX
"CARTHEW BAY TECHS",CWBYF
"CHINA WATER AND DRIN",CWDK
CHINESEWORLDNET.COM,CWNOF
"CORNERWORLD CORP",CWRL
"Cross Atlantic Commodities Inc.",CXAC
"CyberDefender Corp.",CYDE
"CytoDyn Inc.",CYDY
"Cyberfund, Inc.",CYFD
"CYPLASIN BIOMEDICAL",CYPL
"CYBRA CORPORATION",CYRP
"CryoPort Inc.",CYRX
"CYTTA CORP.",CYTA
"CITIZENS COMM BK ID",CZCY
DANAPC.COM,DANA
"DEBUT BROADCASTING",DBTB
"Diet Coffee Inc.",DCFF
"Data Call Technologies",DCLT
"Decorize Inc.",DCZI
"DEEAS RESOURCES, INC",DEEA
"Double Eagle Holdings, Ltd.",DEGH
"DEERFIELD RESOURCES",DFRS
"DRIFTWOOD VENTURES",DFTW
"DigitalPost Interactive, Inc.",DGLP
"Digital Ally Inc.",DGLY
"DigitalTown, Inc.",DGTW
"Delanco Bancorp Inc.",DLNO
"DMA MINERALS INC.",DMAM
"DataMetrics Corp.",DMCP
"DENMARK BANCSHARES I",DMKB
"Diamond I, Inc.",DMOI
"DOMAR EXOTIC FURNISH",DMXF
"DYNASTY GAMING INC",DNYFF
"DOMAIN REGISTRATION",DOMR
"Deep Down, Inc.",DPDW
"DISPATCH AUTO PARTS",DPPT
"Driver Passport Inc",DPSS
"DISASTER PREPAREDNES",DPSY
"DYNAMIC RESPONSE GRO",DRGP
"Disaboom Inc.",DSBO
"DESIGN SOURCE INC",DSGS
"Duska Therapeutics Inc.",DSKA
"Diasense Inc.",DSNS
"DESIGNER SPORTS",DSPA
Dentalserv.com,DSRV
"Destination Television, Inc",DSTV
"DELTRON INC",DTRO
"DITTYBASE TECHNOLOGS",DTTY
"DUSSAULT APPAREL INC",DUSS
"DAIRY FRESH FARMS",DYFR
"DYNAMIC GOLD CORP",DYGO
"DYNAMIC ALERT LTD",DYMC
"Smarts Oil &amp; Gas, Inc.",DYNI
"EAU Technologies, Inc.",EAUI
"ENDEAVOR EXPLORATION",EAVR
"Eastbridge Investment Group Corp.",EBIG
"ECCO Energy Corp.",ECCE
"ECO DEPOT INC",ECDP
"East Coast Diversified Corp.",ECDV
"ECOLOGY COATINGS INC",ECOC
"ECO2 PLASTICS INC",ECOO
"EconoShare Inc.",ECSR
"EDGEWATER FOODS INTE",EDWT
"eDOORWAYS Corporation",EDWY
"Exterra Energy, Inc.",EENR
"Energenx Inc",EENX
"EASTERN ENVIRMNT SOL",EESC
"EFFECTIVE PROFIT SFW",EFPS
"8888 ACQUISITION CP",EGHA
"Energroup Holdings Corp.",EGHC
"Easy Golf Corporation",EGOF
"Energtek, Inc.",EGTK
"ENABLE IPC CORP.",EIPC
"EnerJex Resources, Inc.",EJXR
"ELANDIA, INC.",ELAN
"Edgeline Holdings, Inc.",ELHI
"ELKO VENTURES INC.",ELKO
"EL PALENQUE VIVERO,",ELQV
"ELRAY RESOURCES, INC",ELRA
"ELITE ARTZ INC",ELRZ
"EMERGING MEDIA HOLDI",EMDH
"EMTA Holdings, Inc.",EMHD
"EMAZING INTERACTIVE",EMZG
"ENDEAVOR ENERGY CORP",ENEC
"ENWIN RESOURCES NEW",ENWN
"Epic Energy Resources, Inc.",EPCC
"Enterprise Informatics Inc.",EPRS
"Energy Quest, Inc",EQST
"ES BANCSHARES MD WT",ESBSW
"Ecosphere Technologies, Inc.",ESPH
"Eastern Services Holdings Inc.",ESVH
"ENTOURAGE MINING LTD",ETGMF
"Ecotality, Inc.",ETLY
"EUOKO INC",EUKO
"Environmental Service Professionals, Inc.",EVSP
"EWORLD INTERACTIVE",EWIN
"EXPEDITION LEASING",EXDG
"EXCLUSIVE APPAREL",EXLA
"Exousia Advanced Materials, Inc",EXOU
"EXPLORTEX ENERGY INC",EXPX
"First Business Bank, N.A.",FBBN
"First Community Corp.",FCCT
"FIRST COMNTY CORP B",FCCTO
"FIRST COMNTY CORP A",FCCTP
"FOCUS BUSINESS BK CA",FCSB
"Freedom Resources Enterprises Inc",FDRE
"1ST ENTERPRISE BK CA",FENB
"FORTIFIED HOLDINGS",FFDH
"Freedom Financial Group Inc.",FFGR
"FirstFlight, Inc.",FFLT
"Flagship Global Health, Inc.",FGHH
"Firstgold Corp.",FGOC
"FRIENDLY HILLS BK",FHLB
"FIRST INTCTNTL BK GA",FIEB
"1ST CAPITAL BANK CA",FISB
"Florida Community Banks Inc.",FLCM
"FLM MINERALS INC.",FLMS
"FRESH IDEAS MEDIA",FMED
"Fundstech Corp",FNDS
"FIND THE WRLD INTRCT",FNDW
"FINMETAL MINING LTD",FNMM
"1ST NRG CORP",FNRG
"FIRST NATL BCSHS PFD",FNSCP
"Fort Orange Financial Corp.",FOFC
"FOLSOM LAKE BANK CA",FOLB
"1st Pacific Bancorp",FPBN
"French Peak Resources Inc.",FPKR
"FIREPOND INC",FPND
